,Date,AveragePrice,Total Volume,57,85,455,Total Crate,Small Crates,Large Crates,Xlarge Crates,year,region
0,20/03/2023,5,851.25,213.75,637.5,0,11.25,3.75,7.5,0,2023,Baraton
1,21/03/2023,5,482.5,142.5,340,0,6.5,2.5,4,0,2023,Baraton
2,22/03/2023,5.56,234.25,85.5,148.75,0,3.25,1.5,1.75,0,2023,Baraton
3,23/03/2023,10,964,114,850,0,12,2,10,0,2023,Baraton
4,24/03/2023,10,624,114,510,0,8,2,6,0,2023,Baraton
5,25/03/2023,6.25,553.5,171,382.5,0,7.5,3,4.5,0,2023,Baraton
6,26/03/2023,6.25,652.5,142.5,510,0,8.5,2.5,6,0,2023,Baraton
7,27/03/2023,5.56,354.75,99.75,255,0,4.75,1.75,3,0,2023,Baraton
8,28/03/2023,5,319.25,85.5,233.75,0,4.25,1.5,2.75,0,2023,Baraton
9,29/03/2023,5,362.25,171,191.25,0,5.25,3,2.25,0,2023,Baraton
10,30/03/2023,5,99.25,14.25,85,0,1.25,0.25,1,0,2023,Baraton
11,31/03/2023,10,156,28.5,127.5,0,2,0.5,1.5,0,2023,Baraton
12,01/04/2023,10,35.5,14.25,21.25,0,0.5,0.25,0.25,0,2023,Baraton
13,02/04/2023,10,78,14.25,63.75,0,1,0.25,0.75,0,2023,Baraton
14,03/04/2023,10,56.75,14.25,42.5,0,0.75,0.25,0.5,0,2023,Baraton
15,04/04/2023,10,156,28.5,127.5,0,2,0.5,1.5,0,2023,Baraton
16,05/04/2023,10,212.75,42.75,170,0,2.75,0.75,2,0,2023,Baraton
17,06/04/2023,6.67,369,114,255,0,5,2,3,0,2023,Baraton
18,07/04/2023,5,326.5,114,212.5,0,4.5,2,2.5,0,2023,Baraton
19,08/04/2023,5.56,340.5,85.5,255,0,4.5,1.5,3,0,2023,Baraton
20,09/04/2023,6.67,347.75,114,233.75,0,4.75,2,2.75,0,2023,Baraton
21,10/04/2023,5,405,213.75,191.25,0,6,3.75,2.25,0,2023,Baraton
22,11/04/2023,5,397.5,142.5,255,0,5.5,2.5,3,0,2023,Baraton
23,12/04/2023,5.56,248.25,57,191.25,0,3.25,1,2.25,0,2023,Baraton
24,13/04/2023,5,142,57,85,0,2,1,1,0,2023,Baraton
25,14/04/2023,6.67,255.5,85.5,170,0,3.5,1.5,2,0,2023,Baraton
26,15/04/2023,5.56,312.5,142.5,170,0,4.5,2.5,2,0,2023,Baraton
27,20/03/2023,5,269.75,99.75,170,0,3.75,1.75,2,0,2023,Baraton
28,21/03/2023,5.56,21.25,0,21.25,0,0.25,0,0.25,0,2023,Chemundu
29,22/03/2023,10,92.25,28.5,63.75,0,1.25,0.5,0.75,0,2023,Chemundu
30,23/03/2023,10,85.5,85.5,0,0,1.5,1.5,0,0,2023,Chemundu
31,24/03/2023,10,99.5,57,42.5,0,1.5,1,0.5,0,2023,Chemundu
32,25/03/2023,6.67,149.5,128.25,21.25,0,2.5,2.25,0.25,0,2023,Chemundu
33,26/03/2023,6.67,234.75,171,63.75,0,3.75,3,0.75,0,2023,Chemundu
34,27/03/2023,5,92.5,71.25,21.25,0,1.5,1.25,0.25,0,2023,Chemundu
35,28/03/2023,5,156.25,71.25,85,0,2.25,1.25,1,0,2023,Chemundu
36,29/03/2023,5.56,85,0,85,0,1,0,1,0,2023,Chemundu
37,30/03/2023,5.56,128,85.5,42.5,0,2,1.5,0.5,0,2023,Chemundu
38,31/03/2023,6,64,42.75,21.25,0,1,0.75,0.25,0,2023,Chemundu
39,01/04/2023,5.56,78,14.25,63.75,0,1,0.25,0.75,0,2023,Chemundu
40,20/03/2023,10,78.25,57,21.25,0,1.25,1,0.25,0,2023,Chemundu
41,21/03/2023,10,0,0,0,0,0,0,0,0,2023,Chemundu
42,22/03/2023,10,28.5,28.5,0,0,0.5,0.5,0,0,2023,Chemundu
43,23/03/2023,10,35.5,14.25,21.25,0,0.5,0.25,0.25,0,2023,Chemundu
44,24/03/2023,10,21.25,0,21.25,0,0.25,0,0.25,0,2023,Chemundu
45,25/03/2023,5,42.5,0,42.5,0,0.5,0,0.5,0,2023,Chemundu
46,26/03/2023,5,42.5,0,42.5,0,0.5,0,0.5,0,2023,Tupcho
47,27/03/2023,5,99.25,14.25,85,0,1.25,0.25,1,0,2023,Tupcho
48,28/03/2023,5,92.25,28.5,63.75,0,1.25,0.5,0.75,0,2023,Tupcho
49,29/03/2023,5,56.75,14.25,42.5,0,0.75,0.25,0.5,0,2023,Tupcho
50,30/03/2023,5,120.75,57,63.75,0,1.75,1,0.75,0,2023,Tupcho
51,31/03/2023,,71,28.5,42.5,0,1,0.5,0.5,0,2023,Tupcho
52,01/04/2023,,85,0,85,0,1,0,1,0,2023,Tupcho
53,02/04/2023,,56.75,14.25,42.5,0,0.75,0.25,0.5,0,2023,Tupcho
54,03/04/2023,,85,0,85,0,1,0,1,0,2023,Tupcho
55,04/04/2023,,127.5,0,127.5,0,1.5,0,1.5,0,2023,Tupcho
